,Percentile,Clusters,Type,MCP_PercExtr,MCP,MCP_UpperLim,TotalPercSign,MeanCondProbSign,PercentSign,Area,Variables
0,P95,Clusters_4,EuroAtlantic_SLP,36.048064085447265,6.576879910213243,6.137094778520169,36.58210947930574,6.558798035249929,70.11477230655314,EuroAtlantic,SLP
1,P97,Clusters_4,EuroAtlantic_SLP,37.111111111111114,4.085297418630752,3.8113287007791112,37.55555555555555,4.085297418630752,66.10144390966309,EuroAtlantic,SLP
2,P99,Clusters_4,EuroAtlantic_SLP,40.666666666666664,1.5179113539769278,1.4108233312276268,41.333333333333336,1.514346439957492,47.18252499074417,EuroAtlantic,SLP
0,P95,Clusters_7,EuroAtlantic_SLP,19.225634178905207,7.674552798615118,6.952430737062206,24.432576769025367,7.451212300413957,82.11032950758978,EuroAtlantic,SLP
1,P97,Clusters_7,EuroAtlantic_SLP,20.666666666666668,4.789382573571841,4.338734971249346,24.88888888888889,4.671791839148433,76.34950018511663,EuroAtlantic,SLP
2,P99,Clusters_7,EuroAtlantic_SLP,24.0,1.8047882136279927,1.6421484775915156,27.333333333333332,1.7751122510926978,58.600518326545725,EuroAtlantic,SLP
0,P95,Clusters_8,EuroAtlantic_SLP,16.822429906542055,7.883082373782107,7.098765432098765,28.571428571428573,7.550069818690386,89.85560903369122,EuroAtlantic,SLP
1,P97,Clusters_8,EuroAtlantic_SLP,17.555555555555554,4.911323328785812,4.430379746835443,24.444444444444443,4.743234299819343,85.19067012217697,EuroAtlantic,SLP
2,P99,Clusters_8,EuroAtlantic_SLP,21.333333333333336,1.886035313001605,1.7114914425427872,24.666666666666668,1.84266832037348,65.15364679748241,EuroAtlantic,SLP
0,P95,Clusters_9,EuroAtlantic_SLP,16.288384512683578,8.083560399636694,7.261146496815287,29.372496662216285,7.693711997555124,89.23361717882266,EuroAtlantic,SLP
1,P97,Clusters_9,EuroAtlantic_SLP,17.333333333333336,5.042613636363636,4.5477772100153295,27.77777777777778,4.851567716779548,84.65012958163643,EuroAtlantic,SLP
2,P99,Clusters_9,EuroAtlantic_SLP,20.0,1.9176136363636365,1.7373530914665303,22.0,1.8878407302298958,67.782302850796,EuroAtlantic,SLP
0,P95,Clusters_10,EuroAtlantic_SLP,15.620827770360481,8.126934984520123,7.332402234636872,30.440587449933243,7.749591587038413,91.78822658274713,EuroAtlantic,SLP
1,P97,Clusters_10,EuroAtlantic_SLP,16.666666666666664,5.108359133126935,4.608938547486034,29.77777777777778,4.892205638474295,88.20436875231395,EuroAtlantic,SLP
2,P99,Clusters_10,EuroAtlantic_SLP,19.333333333333332,1.9886363636363635,1.7897091722595078,22.0,1.9438444924406046,68.50055534987042,EuroAtlantic,SLP
0,P95,Clusters_11,EuroAtlantic_SLP,13.75166889185581,8.448753462603879,7.529843893480257,27.102803738317757,7.9475982532751095,90.27767493520919,EuroAtlantic,SLP
1,P97,Clusters_11,EuroAtlantic_SLP,14.444444444444443,5.3164556962025316,4.743390357698289,26.888888888888893,5.0387857591247425,86.59755646057016,EuroAtlantic,SLP
2,P99,Clusters_11,EuroAtlantic_SLP,17.333333333333336,2.0253164556962027,1.8292682926829267,20.666666666666668,1.958762886597938,69.61865975564606,EuroAtlantic,SLP
0,P95,Clusters_12,EuroAtlantic_SLP,13.484646194926569,8.717105263157894,7.755102040816326,28.170894526034715,8.118774835437563,92.11403184005924,EuroAtlantic,SLP
1,P97,Clusters_12,EuroAtlantic_SLP,14.222222222222221,5.472103004291846,4.8979591836734695,27.333333333333332,5.163276041865435,89.43354313217327,EuroAtlantic,SLP
2,P99,Clusters_12,EuroAtlantic_SLP,16.666666666666664,2.1505376344086025,1.9065776930409915,20.666666666666668,2.0815264527320037,71.28470936690114,EuroAtlantic,SLP
0,P95,Clusters_4,EuroAtlantic_T850,32.843791722296395,6.531454107940873,6.116774791473587,33.37783711615487,6.500805359778699,59.8074787115883,EuroAtlantic,T850
1,P97,Clusters_4,EuroAtlantic_T850,34.22222222222222,4.090752836026126,3.822984244670992,34.66666666666667,4.074074074074074,52.454646427249166,EuroAtlantic,T850
2,P99,Clusters_4,EuroAtlantic_T850,38.0,1.5061728395061729,1.4133456904541242,38.0,1.5061728395061729,38.5190670122177,EuroAtlantic,T850
0,P95,Clusters_7,EuroAtlantic_T850,20.827770360480642,8.021978021978022,7.3477604428787116,39.786381842456606,7.482960111368248,89.74453905960755,EuroAtlantic,T850
1,P97,Clusters_7,EuroAtlantic_T850,21.555555555555557,4.9712192569335425,4.562594268476621,36.44444444444444,4.712290591253128,86.9381710477601,EuroAtlantic,T850
2,P99,Clusters_7,EuroAtlantic_T850,24.666666666666668,1.8131868131868134,1.660795168595873,28.666666666666668,1.7828200972447326,72.469455757127,EuroAtlantic,T850
0,P95,Clusters_8,EuroAtlantic_T850,17.75700934579439,8.00252047889099,7.282110091743118,36.18157543391188,7.5645852661082635,90.0333209922251,EuroAtlantic,T850
1,P97,Clusters_8,EuroAtlantic_T850,18.88888888888889,4.979496192149971,4.553415061295972,34.22222222222222,4.779091630210504,87.30840429470567,EuroAtlantic,T850
2,P99,Clusters_8,EuroAtlantic_T850,21.333333333333336,1.855072463768116,1.694017998941239,26.0,1.8197958277851751,73.02480562754535,EuroAtlantic,T850
0,P95,Clusters_9,EuroAtlantic_T850,16.555407209612817,8.261159227181878,7.503234152652006,35.24699599465954,7.752390233107172,93.43206219918548,EuroAtlantic,T850
